Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,ICTVRatified,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay,AssocID,DatabaseDOI,Release_Date,Collection_Date,NCBIAccession
,betacoronavirus tylonycteridis,9397,3433776,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus tylonycteridis,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2013,7,8,2010,8,16,,,2013-07-08,2010-08-16,"KC522037.1, KC522038.1, KC522039.1, KC522040.1, KC522041.1, KC522042.1, KC522043.1, KC522044.1, KC522045.1, KC522046.1, KC522047.1, KC522048.1, KC522050.1, KC522051.1, KC522052.1, KC522053.1, KC522054.1, KC522055.1, KC522056.1, KC522057.1, KC522058.1, KC522059.1, KC522060.1, KC522061.1, KC522063.1, KC522064.1, KC522065.1, KC522066.1, KC522067.1, KC522068.1, KC522069.1, KC522070.1, KC522071.1, KC522072.1, KC522073.1, KC522074.1"
,coronavirus predict cov-17,9397,2042543,TRUE,TRUE,FALSE,,,chiroptera,Mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-17,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,10,1,,,,,KX285605
,coronavirus predict cov-17,9401,2042543,TRUE,TRUE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-17,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,10,1,,,,,"KX285719, KX285720, KX286038"
,coronavirus predict cov-19,9415,2042545,TRUE,TRUE,FALSE,,Phyllostomidae,chiroptera,Mammalia,Phyllostomidae,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-19,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2010,10,1,,,,,"KX285064, KX285793"
,coronavirus predict cov-22,29075,2042549,TRUE,TRUE,FALSE,Macroglossus,Pteropodidae,chiroptera,Mammalia,Macroglossus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-22,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,11,1,,,,,"KX285759, KX285760"
,coronavirus predict cov-23,9406,2042550,TRUE,TRUE,FALSE,Rousettus,Pteropodidae,chiroptera,Mammalia,Rousettus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-23,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2011,9,1,,,,,KX284916
,coronavirus predict cov-23,9406,2042550,TRUE,TRUE,FALSE,Rousettus,Pteropodidae,chiroptera,Mammalia,Rousettus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-23,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2012,1,1,,,,,"KX284918, KX284921, KX284922, KX284923, KX284926"
,coronavirus predict cov-23,9406,2042550,TRUE,TRUE,FALSE,Rousettus,Pteropodidae,chiroptera,Mammalia,Rousettus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-23,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2012,2,1,,,,,KX284934
,coronavirus predict cov-23,9406,2042550,TRUE,TRUE,FALSE,Rousettus,Pteropodidae,chiroptera,Mammalia,Rousettus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-23,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,2,1,,,,,KX285067
,coronavirus predict cov-24,9399,2042551,TRUE,TRUE,FALSE,Cynopterus,Pteropodidae,chiroptera,Mammalia,Cynopterus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-24,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2010,12,1,,,,,KX285783
,coronavirus predict cov-24,9399,2042551,TRUE,TRUE,FALSE,Cynopterus,Pteropodidae,chiroptera,Mammalia,Cynopterus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-24,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2011,11,1,,,,,"KX285729, KX285730"
,coronavirus predict cov-24,9399,2042551,TRUE,TRUE,FALSE,Cynopterus,Pteropodidae,chiroptera,Mammalia,Cynopterus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-24,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,11,1,,,,,KX285762
,coronavirus predict cov-24,9406,2042551,TRUE,TRUE,FALSE,Rousettus,Pteropodidae,chiroptera,Mammalia,Rousettus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-24,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2010,12,1,,,,,KX285784
,coronavirus predict cov-41,9397,2042567,TRUE,TRUE,FALSE,,,chiroptera,Mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-41,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2006,8,1,,,,,"KX285496, KX285498, KX285495"
