virus_id,host_id,virus_genus,host_name,status
3433775,1195082,betacoronavirus,triaenops menamena,host not in dataset
3433775,329870,betacoronavirus,triaenops persicus,correct
3433775,549403,betacoronavirus,triaenops afer,host not in dataset
3433775,3371112,betacoronavirus,lyroderma lyra,host not in dataset
3433775,124756,betacoronavirus,rhinopoma hardwickii,correct
3433775,132908,betacoronavirus,pteropus vampyrus,incorrect_but_suspected
3433775,166054,betacoronavirus,pteropus lylei,incorrect_but_suspected
3433775,196297,betacoronavirus,pteropus rufus,incorrect_but_negative
3433775,385575,betacoronavirus,pteropus dasymallus,incorrect_but_suspected
3433775,328804,betacoronavirus,pteropus conspicillatus,incorrect_but_suspected
3433775,9402,betacoronavirus,pteropus alecto,correct
3433775,9403,betacoronavirus,pteropus poliocephalus,incorrect_but_suspected
3433775,58057,betacoronavirus,acerodon celebensis,incorrect_but_suspected
3433775,1410044,betacoronavirus,epomops buettikoferi,incorrect_but_suspected
3433775,1898389,betacoronavirus,epomops sp.,host not in dataset
3433775,77231,betacoronavirus,epomops franqueti,correct
3433775,2853157,betacoronavirus,epomophorus pusillus,host not in dataset
3433775,372077,betacoronavirus,epomophorus gambianus,correct
3433775,903567,betacoronavirus,epomophorus labiatus,correct
3433775,58067,betacoronavirus,epomophorus wahlbergi,incorrect_but_suspected
3433775,498220,betacoronavirus,nanonycteris veldkampii,incorrect_but_suspected
3433775,448084,betacoronavirus,hypsignathus monstrosus,incorrect_but_suspected
3433775,58071,betacoronavirus,myonycteris angolensis,incorrect_but_suspected
3433775,77243,betacoronavirus,myonycteris torquata,incorrect_but_suspected
3433775,58073,betacoronavirus,megaloglossus woermanni,correct
3433775,1898393,betacoronavirus,rousettus sp.,host not in dataset
3433775,58083,betacoronavirus,rousettus amplexicaudatus,correct
3433775,77223,betacoronavirus,rousettus madagascariensis,incorrect_but_suspected
3433775,9407,betacoronavirus,rousettus aegyptiacus,correct
3433775,9408,betacoronavirus,rousettus leschenaultii,correct
3433775,58065,betacoronavirus,eonycteris spelaea,correct
3433775,58063,betacoronavirus,eidolon dupreanum,correct
3433775,77214,betacoronavirus,eidolon helvum,correct
3433775,1898386,betacoronavirus,cynopterus sp.,host not in dataset
3433775,58060,betacoronavirus,cynopterus brachyotis,correct
3433775,9400,betacoronavirus,cynopterus sphinx,correct
3433775,298110,betacoronavirus,,host_unknown
3433775,77233,betacoronavirus,megaerops niphanae,correct
3433775,374419,betacoronavirus,megaerops kusnotoi,incorrect_but_suspected
3433775,326081,betacoronavirus,dyacopterus spadiceus,correct
3433775,326151,betacoronavirus,penthetor lucasii,host not in dataset
3433775,326083,betacoronavirus,macroglossus sobrinus,incorrect_but_suspected
3433775,1381355,betacoronavirus,taphozous perforatus,correct
3433775,187003,betacoronavirus,taphozous melanopogon,incorrect_but_suspected
3433775,907075,betacoronavirus,coleura afra,incorrect_but_suspected
3433775,258909,betacoronavirus,,host_unknown
3433775,909369,betacoronavirus,glauconycteris variegata,incorrect_but_suspected
3433775,29078,betacoronavirus,eptesicus fuscus,incorrect_but_suspected
3433775,2969767,betacoronavirus,histiotus laephotis,incorrect_but_unlikely
3433775,3371014,betacoronavirus,cnephaeus japonensis,host not in dataset
3433775,3371016,betacoronavirus,cnephaeus nilssonii,host not in dataset
3433775,3371021,betacoronavirus,cnephaeus serotinus,host not in dataset
3433775,360967,betacoronavirus,ia io,correct
3433775,109485,betacoronavirus,hypsugo savii,correct
3433775,999321,betacoronavirus,hypsugo alaschanicus,incorrect_but_suspected
3433775,867834,betacoronavirus,hypsugo pulveratus,incorrect_but_suspected
3433775,143942,betacoronavirus,chalinolobus tuberculatus,incorrect_but_unlikely
3433775,258889,betacoronavirus,chalinolobus gouldii,incorrect_but_unlikely
3433775,2491053,betacoronavirus,falsistrellus mackenziei,incorrect_but_unlikely
3433775,110938,betacoronavirus,laephotis capensis,host not in dataset
