thresh,precision,recall,TP,FP,FN,TN,n_predicted,n_ground_pos
0.435,0.4728682170542636,0.9838709677419355,61,68,1,55,129,62
0.436,0.4728682170542636,0.9838709677419355,61,68,1,55,129,62
0.437,0.4728682170542636,0.9838709677419355,61,68,1,55,129,62
0.438,0.4728682170542636,0.9838709677419355,61,68,1,55,129,62
0.439,0.4728682170542636,0.9838709677419355,61,68,1,55,129,62
0.44,0.4728682170542636,0.9838709677419355,61,68,1,55,129,62
0.441,0.4728682170542636,0.9838709677419355,61,68,1,55,129,62
0.442,0.46923076923076923,0.9838709677419355,61,69,1,54,130,62
0.443,0.46923076923076923,0.9838709677419355,61,69,1,54,130,62
0.444,0.46923076923076923,0.9838709677419355,61,69,1,54,130,62
0.445,0.46564885496183206,0.9838709677419355,61,70,1,53,131,62
0.446,0.46564885496183206,0.9838709677419355,61,70,1,53,131,62
0.447,0.46564885496183206,0.9838709677419355,61,70,1,53,131,62
0.448,0.46564885496183206,0.9838709677419355,61,70,1,53,131,62
0.449,0.4621212121212121,0.9838709677419355,61,71,1,52,132,62
0.45,0.4621212121212121,0.9838709677419355,61,71,1,52,132,62
0.451,0.4621212121212121,0.9838709677419355,61,71,1,52,132,62
0.452,0.4621212121212121,0.9838709677419355,61,71,1,52,132,62
0.453,0.4621212121212121,0.9838709677419355,61,71,1,52,132,62
0.454,0.4621212121212121,0.9838709677419355,61,71,1,52,132,62
0.455,0.4621212121212121,0.9838709677419355,61,71,1,52,132,62
0.456,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.457,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.458,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.459,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.46,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.461,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.462,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.463,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.464,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.465,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.466,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.467,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.468,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.469,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.47,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.471,0.45864661654135336,0.9838709677419355,61,72,1,51,133,62
0.472,0.4552238805970149,0.9838709677419355,61,73,1,50,134,62
0.473,0.45185185185185184,0.9838709677419355,61,74,1,49,135,62
0.474,0.45185185185185184,0.9838709677419355,61,74,1,49,135,62
0.475,0.45185185185185184,0.9838709677419355,61,74,1,49,135,62
0.476,0.45185185185185184,0.9838709677419355,61,74,1,49,135,62
0.477,0.45185185185185184,0.9838709677419355,61,74,1,49,135,62
0.478,0.4485294117647059,0.9838709677419355,61,75,1,48,136,62
0.479,0.4485294117647059,0.9838709677419355,61,75,1,48,136,62
0.48,0.4485294117647059,0.9838709677419355,61,75,1,48,136,62
0.481,0.4485294117647059,0.9838709677419355,61,75,1,48,136,62
0.482,0.4485294117647059,0.9838709677419355,61,75,1,48,136,62
0.483,0.4485294117647059,0.9838709677419355,61,75,1,48,136,62
0.484,0.4485294117647059,0.9838709677419355,61,75,1,48,136,62
0.485,0.4485294117647059,0.9838709677419355,61,75,1,48,136,62
0.486,0.4485294117647059,0.9838709677419355,61,75,1,48,136,62
0.487,0.4485294117647059,0.9838709677419355,61,75,1,48,136,62
0.488,0.4485294117647059,0.9838709677419355,61,75,1,48,136,62
0.489,0.4485294117647059,0.9838709677419355,61,75,1,48,136,62
0.49,0.44525547445255476,0.9838709677419355,61,76,1,47,137,62
0.491,0.4420289855072464,0.9838709677419355,61,77,1,46,138,62
0.492,0.4420289855072464,0.9838709677419355,61,77,1,46,138,62
