threshold,lambda,precision,recall,n_predicted,predpos,acc
0.12244897959183673,0.5714285714285714,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.5918367346938775,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.6122448979591836,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.6326530612244897,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.6530612244897959,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.673469387755102,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.6938775510204082,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.7142857142857142,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.7346938775510203,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.7551020408163265,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.7755102040816326,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.7959183673469387,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.8163265306122448,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.836734693877551,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.8571428571428571,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
