AssocID,Host,HostClass,HostOrder,HostFamily,HostGenus,HostTaxID,HostNCBIResolved,Virus,VirusClass,VirusOrder,VirusFamily,VirusGenus,VirusTaxID,VirusNCBIResolved,ICTVRatified,PublicationYear,ReleaseYear,ReferenceText,PMID,NCBIAccession,Database,DatabaseVersion,DatabaseDOI,DetectionMethod,Detection_NotSpecified,Detection_Serology,Detection_Genetic,Detection_Isolation,HostOriginal,VirusOriginal,DetectionMethodOriginal
211438,rhinolophus sinicus,mammalia,chiroptera,rhinolophidae,rhinolophus,89399,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,,2009,NCBI Nucleotide,,255733149,EID2,Wardeh et al. 2015 Sci Data,https://doi.org/10.1038/sdata.2015.49,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus sinicus,severe acute respiratory syndrome-related coronavirus,NCBI Nucleotide
211439,rhinolophus sinicus,mammalia,chiroptera,rhinolophidae,rhinolophus,89399,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,,2010,NCBI Nucleotide,,289495933,EID2,Wardeh et al. 2015 Sci Data,https://doi.org/10.1038/sdata.2015.49,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus sinicus,severe acute respiratory syndrome-related coronavirus,NCBI Nucleotide
211440,rhinolophus sinicus,mammalia,chiroptera,rhinolophidae,rhinolophus,89399,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2006,,Calisher et al. 2006,,,HP3,Olival et al. 2017 Nature,https://doi.org/10.5281/zenodo.596810,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,rhinolophus sinicus,severe acute respiratory syndrome-related coronavirus,Isolation
211441,rhinolophus sinicus,mammalia,chiroptera,rhinolophidae,rhinolophus,89399,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2008,,"Shi Z, 2008, Virus Res, 133",17451830,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus sinicus,severe acute respiratory syndrome-related coronavirus,PCR
211442,rhinolophus sinicus,mammalia,chiroptera,rhinolophidae,rhinolophus,89399,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,,,ViPR,,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus sinicus,severe acute respiratory syndrome-related coronavirus,PCR
211592,rousettus leschenaultii,mammalia,chiroptera,pteropodidae,rousettus,9408,TRUE,rousettus bat coronavirus hku9,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694006,TRUE,TRUE,2010,,"Lau SK, 2010, J Virol, 84",20702646,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,rousettus leschenaultii,rousettus bat coronavirus hku9,Isolation
211593,rousettus leschenaultii,mammalia,chiroptera,pteropodidae,rousettus,9408,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2005,,Li et al. 2005,,,HP3,Olival et al. 2017 Nature,https://doi.org/10.5281/zenodo.596810,Antibodies,FALSE,TRUE,FALSE,FALSE,rousettus leschenaultii,severe acute respiratory syndrome-related coronavirus,Antibodies
211594,rousettus leschenaultii,mammalia,chiroptera,pteropodidae,rousettus,9408,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2008,,"Shi Z, 2008, Virus Res, 133",17451830,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Antibodies,FALSE,TRUE,FALSE,FALSE,rousettus leschenaultii,severe acute respiratory syndrome-related coronavirus,Antibodies
211929,scotophilus kuhlii,mammalia,chiroptera,vespertilionidae,scotophilus,153297,TRUE,scotophilus bat coronavirus 512,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,693999,TRUE,TRUE,2006,,"Tang XC, 2006, J Virol, 80",16840328,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,scotophilus kuhlii,scotophilus bat coronavirus 512,Isolation
211930,scotophilus kuhlii,mammalia,chiroptera,vespertilionidae,scotophilus,153297,TRUE,scotophilus bat coronavirus 512,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,693999,TRUE,TRUE,2010,,"Woo PC, 2010, Viruses, 2",21994708,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,scotophilus kuhlii,scotophilus bat coronavirus 512,Isolation
218674,tylonycteris pachypus,mammalia,chiroptera,vespertilionidae,tylonycteris,258959,TRUE,tylonycteris bat coronavirus hku4,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694007,TRUE,TRUE,2006,,"Woo PC, 2006, Virology, 351",16647731,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,tylonycteris pachypus,tylonycteris bat coronavirus hku4,Isolation
